manufacturer,part_number,title,shape,outer_diameter_mm,clear_aperture_mm,effective_focal_length_mm,back_focal_length_mm,coating,wavelength_min_nm,wavelength_max_nm,reference_wavelength_nm,designable,r1_mm,r2_mm,r3_mm,glass1,glass2,ct1_mm,ct2_mm,source_file,source_sheet,source_row,source_sha256,imported_at
Edmund Optics,08-083,TS 合成石英製両凸レンズ 18 x 20,double_convex,18.0,17.0,20.0,17.18,Uncoated,200.0,2200.0,587.6,1,17.05,-17.05,,Fused Silica (Corning 7980),,7.64,,UV-Fused-Silica-Double-Convex-DCX-Lenses.xlsx,EO_2028,131,2f0c00e1f3686328cdd7bced2b271ab6acc9152f804f974a74f15c4383f7a188,2026-08-12T16:25:48.722572+00:00
Edmund Optics,08-084,TS 合成石英製両凸レンズ 18 x 40,double_convex,18.0,17.0,40.0,38.5,Uncoated,200.0,2200.0,587.6,1,35.99,-35.99,,Fused Silica (Corning 7980),,4.29,,UV-Fused-Silica-Double-Convex-DCX-Lenses.xlsx,EO_2028,139,2f0c00e1f3686328cdd7bced2b271ab6acc9152f804f974a74f15c4383f7a188,2026-08-12T16:25:48.722572+00:00
Edmund Optics,14-376,TS 平凸レンズ 15 x 200 VIS 0°,plano_convex,15.0,14.0,200.0,197.89,VIS 0° (425-675nm),425.0,675.0,,1,103.36,,,N-BK7,,3.2,,VIS-0-Coated-Plano-Convex-PCX-Lenses (2).xlsx,EO_2537,140,0497fb07d22d8e1d9c87c6088d733ef8f25480109b030c1d1dbeeb0198553764,2026-08-12T16:25:48.722572+00:00
Edmund Optics,14-384,TS 平凸レンズ 15 x 250 VIS 0°,plano_convex,15.0,14.0,250.0,248.02,VIS 0° (425-675nm),425.0,675.0,,1,129.2,,,N-BK7,,3.0,,VIS-0-Coated-Plano-Convex-PCX-Lenses (2).xlsx,EO_2537,141,0497fb07d22d8e1d9c87c6088d733ef8f25480109b030c1d1dbeeb0198553764,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-043,TS 合成石英製平凹レンズ 6 x -9 VIS-NIR,plano_concave,6.0,5.4,-9.0,-10.38,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-4.13,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,11,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-044,TS 合成石英製平凹レンズ 6 x -12 VIS-NIR,plano_concave,6.0,5.4,-12.0,-13.38,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-5.5,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,12,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-045,TS 合成石英製平凹レンズ 6 x -18 VIS-NIR,plano_concave,6.0,5.4,-18.0,-19.37,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-8.25,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,13,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-046,TS 合成石英製平凹レンズ 9 x -13.5 VIS-NIR,plano_concave,9.0,8.1,-13.5,-14.89,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-6.2,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,23,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-047,TS 合成石英製平凹レンズ 9 x -18 VIS-NIR,plano_concave,9.0,8.1,-18.0,-19.37,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-8.25,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,24,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
Edmund Optics,21-048,TS 合成石英製平凹レンズ 9 x -27 VIS-NIR,plano_concave,9.0,8.1,-27.0,-28.42,VIS-NIR (400-1000nm),400.0,1000.0,587.6,1,-12.4,,,Fused Silica (Corning 7980),,2.0,,UV-Fused-Silica-Plano-Concave-PCV-Lenses.xlsx,EO_2029,25,6adea2b1f35062c021c9b77985a354ba2b355297d98073b41655aeafd2e3b895,2026-08-12T16:25:48.722572+00:00
